no,card_name,URL
63,King of Swords,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476315/63_King_of_Swords_env2fk.png
64,Ace of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476315/64_Ace_of_Pentacles_yes80s.png
65,Two of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476316/65_Two_of_Pentacles_puwghn.png
66,Three of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476316/66_Three_of_Pentacles_ys1gsv.png
67,Four of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476316/67_Four_of_Pentacles_lhohyp.png
68,Five of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476317/68_Five_of_Pentacles_wh5nmk.png
69,Six of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476317/69_Six_of_Pentacles_rjdiwl.png
70,Seven of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476317/70_Seven_of_Pentacles_wqegm0.png
71,Eight of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476318/71_Eight_of_Pentacles_badshe.png
72,Nine of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476318/72_Nine_of_Pentacles_obm1w7.png
73,Ten of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476319/73_Ten_of_Pentacles_wi6vzp.png
74,Page of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476319/74_Page_of_Pentacles_qyfqiu.png
75,Knight of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476319/75_Knight_of_Pentacles_jvbmuf.png
76,Queen of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476319/76_Queen_of_Pentacles_wlsy73.png
77,King of Pentacles,https://res.cloudinary.com/dhhzjeskm/image/upload/q_auto/f_auto/v1780476320/77_King_of_Pentacles_gqho9y.png
